Run ID,Oportunidade,Conta,Perfil Cliente,Vendedor,Gross,Net,Portfólio,Segmento,Família Produto,Status,Fiscal Q,Data Fechamento,Ciclo (dias),Produtos,📝 Resumo Análise,🎯 Causa Raiz,✨ Fatores Sucesso,Tipo Resultado,Qualidade Engajamento,Gestão Oportunidade,-,💡 Lições Aprendidas,# Atividades,Ativ. 7d,Ativ. 30d,Distribuição Tipos,Período Pico,Cadência Média (dias),# Total Mudanças,# Mudanças Críticas,Mudanças Close Date,Mudanças Stage,Mudanças Valor,Campos + Alterados,Padrão Mudanças,Freq. Mudanças,# Editores,🏷️ Labels,🕐 Última Atualização
2026-01-30T03:50:12.209Z,CALP-111417-Camara Laranjal Paulista-,CÂMARA MUNICIPAL DE LARANJAL PAULISTA,BASE INSTALADA,Alexsandra Junqueira,573.5808,23.86,GWorkspace Licenciamiento,Gobierno,GWS Licensing,GANHO,FY24-Q2,31-05-2024,2,Nueva GWorkspace Business Starter,"A vitória foi garantida devido à natureza transacional da oportunidade (transferência de token e pequena expansão de licenças) com um cliente da base instalada. O sucesso reflete a confiança prévia e a expertise técnica na gestão de licenças Google Workspace, apesar da gestão de registro no CRM ter sido extremamente deficiente.",Relacionamento estabelecido com o cliente base e necessidade mandatória de continuidade do serviço (transferência de licenças).,"Confiança e histórico positivo com o cliente (Base Instalada), Baixa complexidade e natureza administrativa da compra, Expertise técnica na execução da transferência de token",TRANSFERENCIA,FRACO,REATIVA,-,"Em transações de baixo valor e alta dependência técnica (como transferência de tokens), a velocidade e a ausência de atrito no processo são os principais diferenciais. É crucial, no entanto, melhorar a higiene do CRM para refletir o engajamento real e evitar que oportunidades ganhas permaneçam em 0%.",1,0,0,Outro(1),2025-05 (1 atividades),N/A,0,0,0,0,0,N/A,SEM DADOS,N/A,0,"BASE INSTALADA, TRANSFERENCIA TOKEN, BAIXA COMPLEXIDADE",1/30/2026
2026-01-30T03:50:12.209Z,#M25#Vertex AI_TJMG-124537-Acelerador de Transcrição (Via Serpro_) #privateoffer,TJMG,BASE INSTALADA,Alexsandra Junqueira,268503.5,196485.53,Productos Xertica,Gobierno,Aceleradores | GCP Services | MSP Services,Nueva,FY25-Q2,06/07/2025,81,Transcrição de vídeo | Servicios Profesionales GCP Data | MSP / Optimize / Precio Standard Mensual 5x8 - 30 Tickets | Resumo de documentos | Aplicativo de bot e acelerador CCAI,"A vitória foi garantida pela entrega de uma solução de Inteligência Artificial (Vertex AI) altamente customizada, focada na integração crítica com o sistema THEMIS do TJMG. O uso estratégico do Private Offer via SERPRO MarketPlace foi fundamental para contornar processos licitatórios longos, garantindo um caminho de aquisição rápido e mitigando a concorrência.","Solução técnica de ponta (IA) com integração profunda em sistema legado, combinada com um caminho de aquisição facilitado (Private Offer).","Diferenciação técnica através da integração nativa com o sistema THEMIS do TJMG., Estratégia de Procurement eficiente via Private Offer no SERPRO MarketPlace., Valor percebido claro na aceleração de transcrição e resumo de documentos (Metrics fortes)., Uso de tecnologias de ponta (Vertex AI e CCAI) para resolver uma dor operacional crítica.",EXPANSAO,BOM,PROATIVA,-,"Em clientes de base instalada no setor governamental, priorizar a customização técnica profunda e utilizar mecanismos de aquisição facilitados (como Private Offer via SERPRO) para acelerar o ciclo de vendas de soluções complexas de IA.",17,0,0,"Reuniones / Videoconferencia(15), Outro(1)",2025-06 (5 atividades),16,13,13,5,8,0,"STAGE(8x), CLOSE DATE(5x)",VOLATIL - CRITICO,9 dias entre mudanças,4,"GOVERNO, VERTEX AI, PRIVATE OFFER, INTEGRAÇÃO CRÍTICA, CCAI",1/30/2026
2026-01-30T03:50:12.209Z,#M25#Gemini PROD-124344-PRODERJ-Adesão arp MPAP,PRODERJ,BASE INSTALADA,Emilio Goncalves,266791.96,95167.36,GCP Servicios INFRA,Gobierno,GCP Services | GCP Consumption,Nueva,FY25-Q4,14-11-2025,246,Servicios Profesionales GCP Infra | GCP Consumo Nuevo,"A vitória foi alcançada através da utilização bem-sucedida do mecanismo de Adesão à Ata de Registro de Preços (ARP) do MPAP, o que simplificou e acelerou o processo de procurement governamental. A conformidade legal e a capacidade de fornecer os produtos e serviços necessários (GCP e Serviços Profissionais) via este veículo foram os fatores decisivos para a assinatura do contrato.","Navegação eficiente e conformidade com o processo de Adesão à Ata de Registro de Preços (ARP), permitindo uma venda rápida e legalmente suportada em um cliente de base instalada.","Utilização estratégica do mecanismo de Adesão à ARP, contornando a necessidade de uma licitação completa., Forte alinhamento interno (implícito) no PRODERJ para a aquisição dos serviços e consumo GCP., Oferta de um mix de produtos (Consumo Novo e Serviços Profissionais) que atendia integralmente à necessidade do cliente dentro dos termos da ARP.",EXPANSAO,BOM,MISTA,-,Priorizar e dominar o uso de veículos de procurement simplificados (como Adesão à ARP) em clientes governamentais de base instalada para acelerar o ciclo de vendas. Garantir que a atualização do CRM acompanhe a velocidade da execução legal/comercial.,14,0,0,"Reuniones / Videoconferencia(13), Outro(1)",2025-07 (3 atividades),19,16,16,9,7,0,"CLOSE DATE(9x), STAGE(7x)",VOLATIL - CRITICO,17 dias entre mudanças,4,"GOVERNO, ADESAO ARP, GCP SERVICOS",1/30/2026
2026-01-30T03:50:12.209Z,CGDE-122610-Controladoria Geral do Estado de Mato Grosso- Migração da Infra #M25 #Sprint2,Controladoria Geral do Estado de Mato Grosso,BASE INSTALADA,Carlos Moll,155901.1095,15853.52,GCP Consumo,Gobierno,GCP Consumption | GCP Services | MSP Services,Nueva,FY25-Q4,22-10-2025,142,GCP Consumo Nuevo | Servicios Profesionales GCP Infra | MSP / Optimize / Precio Mensual + 7x24 - 30 Tickets,"A vitória foi impulsionada pela confiança estabelecida com a Controladoria Geral do Estado (Base Instalada) e pela capacidade de oferecer uma solução completa de migração para o GCP, complementada por serviços profissionais e suporte gerenciado 7x24. A complexidade técnica do projeto e a necessidade de expertise especializada garantiram a diferenciação.","Relacionamento sólido com a Base Instalada, combinado com a entrega de uma proposta de valor técnica e operacionalmente robusta (GCP + Serviços Profissionais + MSP).","Expertise técnica comprovada na migração para GCP (Serviços Profissionais), Oferta de solução End-to-End (Consumo + Implementação + Gestão Contínua/MSP), Alavancagem do status de Base Instalada para acelerar a confiança e o processo de decisão",EXPANSAO,BOM,REATIVA,-,"Em projetos de migração de infraestrutura crítica, a combinação de serviços profissionais de alta qualidade e um contrato de suporte gerenciado (MSP) é crucial para mitigar riscos e garantir a vitória. É vital manter a documentação do CRM atualizada (fase 0%) para refletir a gestão proativa.",21,0,1,"Reuniones / Videoconferencia(20), Outro(1)",2025-07 (4 atividades),17,17,17,12,5,0,"CLOSE DATE(12x), STAGE(5x)",VOLATIL - CRITICO,17 dias entre mudanças,3,"GOVERNO, GCP, MIGRACAO INFRA, BASE INSTALADA",1/30/2026
2026-01-30T03:50:12.209Z,UDND-118222-UDND-118085-Renew GWS Edu,Universidade do Norte do Paraná,BASE INSTALADA,Gabriel Leick,23568,2828.16,GWorkspace Licenciamiento,Educativo,GWS Licensing,Posventa,FY25-Q2,04/12/2025,171,Renovación Google Workspace Google for Education Teaching and Learning,"A vitória foi resultado direto da alta aderência (stickiness) do cliente à plataforma Google Workspace for Education, que é um produto crítico para as operações da universidade. O processo de renovação foi simplificado e transacional, garantido pela necessidade de continuidade e pelo pagamento upfront.",Aderência e Necessidade Crítica do Produto (Product Stickiness),"Alta barreira de saída e custo de troca do Google Workspace for Education, Relacionamento estabelecido com cliente de base instalada, Processo de pagamento simplificado (upfront) que agilizou a transação",RENOVACAO,FRACO,REATIVA,-,"Em renovações de base instalada com alta aderência, o foco deve ser na simplificação do processo de compra e pagamento (ex: upfront), minimizando a necessidade de engajamento complexo e aproveitando a inércia do cliente.",1,0,0,Outro(1),2025-11 (1 atividades),N/A,9,9,3,6,0,"STAGE(6x), CLOSE DATE(3x)",MODERADO - CRITICO,32 dias entre mudanças,4,"RENOVACAO, BASE INSTALADA, STICKINESS, GWS EDU",1/30/2026
2026-01-30T03:50:12.209Z,UDND-118085--Renew GWS Edu,Universidade do Norte do Paraná,BASE INSTALADA,Gabriele Oliveira,11277.288,-4527.83,GWorkspace Licenciamiento,Educativo,GWS Licensing,Nueva,FY24-Q4,23-10-2024,2,Renovación Google Workspace Google for Education Teaching and Learning,"A vitória foi garantida devido à natureza da transação, que era uma renovação de um produto de alta aderência (Google Workspace for Education) em uma base instalada. O custo de migração e a dependência da plataforma existente atuaram como barreiras significativas para a concorrência, garantindo a continuidade do serviço.",Stickiness (aderência) do produto e necessidade administrativa de continuidade do serviço na base instalada.,"Aderência institucional ao ecossistema Google for Education, Baixo valor e complexidade administrativa da renovação, favorecendo a continuidade, Custo e esforço de migração para uma plataforma concorrente eram proibitivos",RENOVACAO,FRACO,REATIVA,-,"Em renovações de baixo valor e alta aderência, o foco deve ser na eficiência administrativa e no monitoramento proativo da data de vencimento, mesmo que o volume de atividades registradas no CRM seja baixo. A falta de higiene do CRM (0% de fase, 1 atividade) deve ser corrigida para garantir visibilidade do pipeline de renovação.",1,0,0,Outro(1),2024-10 (1 atividades),N/A,7,7,1,6,0,"STAGE(6x), CLOSE DATE(1x)",MODERADO - CRITICO,0 dias entre mudanças,2,"RENOVACAO, BASE INSTALADA, STICKINESS, GWS EDU",1/30/2026
2026-01-30T03:50:12.209Z,UDND-102515-Universidade do Norte do Paraná-,Universidade do Norte do Paraná,BASE INSTALADA,Daniel Borges,16273.704,-1781.97,GWorkspace Licenciamiento,Educativo,GWS Licensing,Nueva,FY23-Q4,21-12-2023,56,Transfertoken GWorkspace Google for Education Teaching and Learning,"A vitória foi impulsionada pela natureza operacional da transação e pela forte aderência do cliente à nossa base instalada (Universidade do Norte do Paraná). O baixo valor e a especificidade dos produtos (Transfertoken, Teaching and Learning) indicam uma compra de extensão de licença ou renovação de baixo atrito, onde o custo de troca era proibitivo.",Relacionamento estabelecido com a base instalada e necessidade imediata de continuidade/expansão de licenças Google for Education.,"Fidelidade e dependência da Base Instalada (GWorkspace/Google for Education), Baixo atrito no processo de compra devido à natureza operacional do licenciamento, Timing de fechamento (final de ano) indicando necessidade imediata de continuidade",EXPANSAO,FRACO,REATIVA,-,"Vendas de baixo valor e alta aderência na base instalada tendem a ter ciclos curtos e exigem menos esforço consultivo, mas o registro de atividades no CRM deve ser priorizado mesmo em transações operacionais para garantir rastreabilidade e histórico. A BASE INSTALADA é o maior diferencial.",0,0,0,N/A,N/A,N/A,0,0,0,0,0,N/A,SEM DADOS,N/A,0,"BASE INSTALADA, LICENCIAMENTO, BAIXO ATRITO",1/30/2026
2026-01-30T03:50:12.209Z,IIDC-110776--ICI Adicional GWS,ICI - Instituto das cidades inteligentes,BASE INSTALADA,Daniel Borges,14465.55,942.84,GWorkspace Licenciamiento,Gobierno,GWS Licensing,Posventa,FY24-Q2,15-05-2024,1,Adicional Google Vault | Adicional Google Workspace Enterprise Starter,"A vitória foi resultado de uma expansão orgânica na base instalada, onde o cliente (ICI) demonstrou uma necessidade operacional imediata e clara por licenças adicionais (GWS Starter e Vault). O relacionamento estabelecido e o status de fornecedor preferencial garantiram a compra rápida e sem concorrência significativa.","Relacionamento sólido e status de Fornecedor Preferencial (Base Instalada), facilitando a compra de add-ons essenciais.","Status de Base Instalada (Vendor Lock-in) para produtos Google Workspace., Necessidade operacional imediata e quantificada (50 licenças), simplificando a decisão., Processo de compra e decisão altamente simplificado para um adicional de baixo valor/complexidade.",EXPANSAO,FRACO,MISTA,-,"Em vendas de expansão na base instalada, a velocidade de resposta à necessidade do cliente é crucial. É vital, no entanto, garantir que o CRM reflita o engajamento real, mesmo em transações rápidas, para evitar a subestimação da qualidade da gestão. Priorizar a excelência na entrega contínua para garantir a recorrência e expansão.",0,0,0,N/A,N/A,N/A,0,0,0,0,0,N/A,SEM DADOS,N/A,0,"BASE INSTALADA, EXPANSAO LICENCAS, BAIXA COMPLEXIDADE",1/30/2026
2026-01-30T03:50:12.209Z,IIDC-104965--ICI - SUPORTE MENSAL - WORKSPACE,ICI - Instituto das cidades inteligentes,BASE INSTALADA,Daniel Borges,46312.17,46312.17,WS Servicios Profesionales,Gobierno,GWS Services,Nueva,FY24-Q2,05/01/2024,90,Servicios Profesionales de Implementación Workplace,"A vitória foi garantida pela natureza essencial do serviço de suporte mensal, que estava intrinsecamente ligado a um contrato de 36 meses na base instalada. O sucesso reflete a confiança estabelecida e a continuidade operacional, minimizando o risco de troca de fornecedor.",Confiança e Relacionamento Sólido na Base Instalada (Fator de Continuidade Operacional),"Serviço de suporte essencial (alto custo de não ter), Alinhamento perfeito com o início do contrato principal de 36 meses (Timing), Forte relacionamento e histórico de performance (Diferenciação), Processo de decisão simplificado devido à natureza de renovação/expansão de serviço",RENOVACAO,FRACO,REATIVA,-,"Em deals de renovação/expansão na base instalada, o fator de sucesso é a performance histórica e a gestão do relacionamento, que deve ser documentada mesmo que o volume de atividades formais de 'venda' seja baixo. Garantir a integração administrativa de serviços de suporte com contratos de longo prazo é crucial.",0,0,0,N/A,N/A,N/A,0,0,0,0,0,N/A,SEM DADOS,N/A,0,"BASE INSTALADA, SUPORTE MENSAL, SERVIÇO GERENCIADO",1/30/2026
2026-01-30T03:50:12.209Z,IIDC-104966--ICI GWS MIGRAÇÃO ZIMBRA,ICI - Instituto das cidades inteligentes,BASE INSTALADA,Daniel Borges,4096.55,4096.55,WS Servicios Profesionales,Gobierno,GWS Services,Nueva,FY24-Q2,05/01/2024,90,Servicios Profesionales Implementación Workspace SLS,"A vitória foi garantida pela forte confiança estabelecida com o cliente (base instalada) e pela necessidade técnica urgente de migrar do Zimbra para o Google Workspace. O baixo valor e a natureza transacional do serviço permitiram um fechamento rápido, apesar da ausência de registro de atividades no CRM.",Relacionamento sólido com a Base Instalada e expertise técnica comprovada na migração de plataformas legadas.,"Confiança prévia do cliente (Base Instalada) que eliminou a necessidade de concorrência formal., Expertise técnica específica na migração Zimbra para GWS., Timing perfeito impulsionado pela necessidade técnica ou ciclo de vida do Zimbra (Implicate Pain forte).",EXPANSAO,FRACO,REATIVA,-,"Em deals de serviços técnicos para base instalada, a confiança e a velocidade são cruciais. É fundamental garantir que, mesmo em vendas rápidas e de baixo valor, o registro de atividades e a fase do CRM reflitam o status real da oportunidade para manter a higiene dos dados.",0,0,0,N/A,N/A,N/A,0,0,0,0,0,N/A,SEM DADOS,N/A,0,"MIGRACAO, BASE INSTALADA, SERVICOS PROFISSIONAIS",1/30/2026
